1,346,0000000000020700
2,570,0000000000035700
3,365,0000000000022380
4,609,0000000000039180
5,539,0000000000032880
6,1007,000000000005E680
7,176,0000000000010800
8,175,0000000000010680
9,179,0000000000010C80
10,288,000000000001B000
11,237,0000000000016380
12,353,0000000000021180
13,3706,000000000015B700
14,2255,00000000000D3680
15,5789,000000000021EB80
16,347,0000000000020880
17,571,0000000000035880
18,366,0000000000022500
19,610,0000000000039300
20,540,0000000000032A00
21,1008,000000000005E800
22,177,0000000000010980
23,176,0000000000010800
24,180,0000000000010E00
25,289,000000000001B180
26,238,0000000000016500
27,354,0000000000021300
28,3707,000000000015B880
29,2256,00000000000D3800
30,5790,000000000021ED00
31,280,000000000001A400
32,496,000000000002E800
33,118,000000000000B100
34,5248,00000000001EC000
