1,6209,00000000000BF400
2,7665,00000000000EC400
3,3693,0000000000070800
4,4429,0000000000087000
5,9153,0000000000119400
6,11345,000000000015CC00
7,749,0000000000016800
8,749,0000000000016800
9,749,0000000000016800
10,1841,0000000000038400
11,1485,000000000002D000
12,2577,000000000004EC00
13,35329,0000000000443400
14,18413,0000000000232800
15,52993,000000000065F400
16,6209,00000000000BF400
17,7665,00000000000EC400
18,3693,0000000000070800
19,4429,0000000000087000
20,9153,0000000000119400
21,11345,000000000015CC00
22,749,0000000000016800
23,749,0000000000016800
24,749,0000000000016800
25,1841,0000000000038400
26,1485,000000000002D000
27,2577,000000000004EC00
28,35329,0000000000443400
29,18413,0000000000232800
30,52993,000000000065F400
