1,2934,00000000000D9080
2,4790,0000000000160080
3,1840,0000000000088A40
4,3056,00000000000E2A40
5,4150,0000000000133080
6,7222,0000000000214080
7,1194,000000000005A780
8,700,0000000000034440
9,1270,0000000000060180
10,1542,0000000000073C80
11,928,0000000000045240
12,1846,000000000008A480
13,12214,000000000037C080
14,7920,000000000024AA40
15,19510,0000000000598080
16,2933,00000000000D9080
17,4789,0000000000160080
18,1838,0000000000088A40
19,3054,00000000000E2A40
20,4149,0000000000133080
21,7221,0000000000214080
22,1193,000000000005A780
23,698,0000000000034440
24,1269,0000000000060180
25,1541,0000000000073C80
26,926,0000000000045240
27,1845,000000000008A480
28,12213,000000000037C080
29,7918,000000000024AA40
30,19509,0000000000598080
31,2931,00000000000D9080
32,4787,0000000000160080
33,1837,0000000000088A40
34,3053,00000000000E2A40
35,4147,0000000000133080
36,7219,0000000000214080
37,1191,000000000005A780
38,697,0000000000034440
39,1267,0000000000060180
40,1539,0000000000073C80
41,925,0000000000045240
42,1843,000000000008A480
43,12211,000000000037C080
44,7917,000000000024AA40
45,19507,0000000000598080
46,2930,00000000000D9080
47,4786,0000000000160080
48,1835,0000000000088A40
49,3051,00000000000E2A40
50,4146,0000000000133080
51,7218,0000000000214080
52,1190,000000000005A780
53,695,0000000000034440
54,1266,0000000000060180
55,1538,0000000000073C80
56,923,0000000000045240
57,1842,000000000008A480
58,12210,000000000037C080
59,7915,000000000024AA40
60,19506,0000000000598080
61,1413,0000000000068100
62,2629,00000000000C2100
63,273,0000000000013B00
64,501,0000000000024900
65,7493,000000000022A100
