1,270,0000000000011BC0
2,312,0000000000014B40
3,289,0000000000013380
4,331,0000000000016300
5,457,000000000001F180
6,541,0000000000025080
7,144,0000000000008D40
8,163,000000000000A500
9,205,000000000000D480
10,4134,0000000000122DC0
11,4153,0000000000124580
12,8185,0000000000241580
13,271,0000000000011BC0
14,313,0000000000014B40
15,290,0000000000013380
16,332,0000000000016300
17,458,000000000001F180
18,542,0000000000025080
19,145,0000000000008D40
20,164,000000000000A500
21,206,000000000000D480
22,4135,0000000000122DC0
23,4154,0000000000124580
24,8186,0000000000241580
