Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput
Enc,False,0,16,124,0.12903225806451613
Enc,False,0,64,162,0.3950617283950617
Enc,False,0,128,238,0.5378151260504201
Enc,False,0,256,390,0.6564102564102564
Enc,False,0,1536,1910,0.8041884816753927
Enc,False,0,long,152,0.8421052631578947
Enc,False,16,0,129,0.12403100775193798
Enc,False,64,0,180,0.35555555555555557
Enc,False,128,0,274,0.46715328467153283
Enc,False,256,0,462,0.5541125541125541
Enc,False,1536,0,2342,0.6558497011101623
Enc,False,long,0,188,0.6808510638297872
Enc,False,16,16,183,0.17486338797814208
Enc,False,64,64,272,0.47058823529411764
Enc,False,128,128,442,0.579185520361991
Enc,False,256,256,782,0.6547314578005116
Enc,False,1536,1536,4182,0.7345767575322812
Enc,False,long,long,340,0.7529411764705882
Enc,True,0,16,116,0.13793103448275862
Enc,True,0,64,154,0.4155844155844156
Enc,True,0,128,230,0.5565217391304348
Enc,True,0,256,382,0.6701570680628273
Enc,True,0,1536,1902,0.807570977917981
Enc,True,0,long,152,0.8421052631578947
Enc,True,16,0,121,0.1322314049586777
Enc,True,64,0,172,0.37209302325581395
Enc,True,128,0,266,0.48120300751879697
Enc,True,256,0,454,0.5638766519823789
Enc,True,1536,0,2334,0.6580976863753213
Enc,True,long,0,188,0.6808510638297872
Enc,True,16,16,175,0.18285714285714286
Enc,True,64,64,264,0.48484848484848486
Enc,True,128,128,434,0.5898617511520737
Enc,True,256,256,774,0.661498708010336
Enc,True,1536,1536,4174,0.7359846669861044
Enc,True,long,long,340,0.7529411764705882
Dec,False,0,16,125,0.128
Dec,False,0,64,163,0.39263803680981596
Dec,False,0,128,239,0.5355648535564853
Dec,False,0,256,391,0.6547314578005116
Dec,False,0,1536,1911,0.8037676609105181
Dec,False,0,long,152,0.8421052631578947
Dec,False,16,0,130,0.12307692307692308
Dec,False,64,0,181,0.35359116022099446
Dec,False,128,0,275,0.46545454545454545
Dec,False,256,0,463,0.5529157667386609
Dec,False,1536,0,2343,0.6555697823303457
Dec,False,long,0,188,0.6808510638297872
Dec,False,16,16,184,0.17391304347826086
Dec,False,64,64,273,0.46886446886446886
Dec,False,128,128,443,0.5778781038374717
Dec,False,256,256,783,0.6538952745849298
Dec,False,1536,1536,4183,0.734401147501793
Dec,False,long,long,340,0.7529411764705882
Dec,True,0,16,117,0.13675213675213677
Dec,True,0,64,155,0.4129032258064516
Dec,True,0,128,231,0.5541125541125541
Dec,True,0,256,383,0.6684073107049608
Dec,True,0,1536,1903,0.8071466106148187
Dec,True,0,long,152,0.8421052631578947
Dec,True,16,0,122,0.13114754098360656
Dec,True,64,0,173,0.3699421965317919
Dec,True,128,0,267,0.4794007490636704
Dec,True,256,0,455,0.5626373626373626
Dec,True,1536,0,2335,0.6578158458244111
Dec,True,long,0,188,0.6808510638297872
Dec,True,16,16,176,0.18181818181818182
Dec,True,64,64,265,0.4830188679245283
Dec,True,128,128,435,0.5885057471264368
Dec,True,256,256,775,0.6606451612903226
Dec,True,1536,1536,4175,0.7358083832335329
Dec,True,long,long,340,0.7529411764705882
Hash,False,16,0,91,0.17582417582417584
Hash,False,64,0,193,0.3316062176165803
Hash,False,128,0,329,0.3890577507598784
Hash,False,256,0,601,0.4259567387687188
Hash,False,1536,0,3321,0.46251129177958444
Hash,False,long,0,272,0.47058823529411764
