1,1279,0000000000039E40
2,2123,0000000000060540
3,1078,0000000000030480
4,1930,0000000000056B80
5,1922,0000000000056B80
6,3618,00000000000A3980
7,646,000000000001D100
8,439,0000000000013740
9,650,000000000001D100
10,20691,00000000003ADF40
11,20674,00000000003A4580
12,40930,000000000073ED80
13,1281,0000000000039E40
14,2125,0000000000060540
15,1080,0000000000030480
16,1932,0000000000056B80
17,1924,0000000000056B80
18,3620,00000000000A3980
19,648,000000000001D100
20,441,0000000000013740
21,652,000000000001D100
22,20693,00000000003ADF40
23,20676,00000000003A4580
24,40932,000000000073ED80
